"pic_id","sample_size","test_param","param_value","p_value","obs_plot_location","pic_name","experiment","difficulty","data_name","trial"
1,3,"turk16-plain","k-3-sdline-0.25-sdgroup-0.25","line-0.87002-cluster-0.91041","20, 11","311ad7dac474b1fe447089649aa8bc47.svg","turk16",110,"set-1-k-3-sdline-0.25-sdgroup-0.25",0
2,3,"turk16-color","k-3-sdline-0.25-sdgroup-0.25","line-0.87002-cluster-0.91041","20, 11","1d3209ce4a706ee3974d0f032c320c74.svg","turk16",111,"set-1-k-3-sdline-0.25-sdgroup-0.25",0
3,3,"turk16-shape","k-3-sdline-0.25-sdgroup-0.25","line-0.87002-cluster-0.91041","20, 11","da6cd1abdc6284388efcbe1e41751651.svg","turk16",112,"set-1-k-3-sdline-0.25-sdgroup-0.25",0
4,3,"turk16-colorShape","k-3-sdline-0.25-sdgroup-0.25","line-0.87002-cluster-0.91041","20, 11","bc408cfd5d4c914a0ce19e1a8ea866cd.svg","turk16",113,"set-1-k-3-sdline-0.25-sdgroup-0.25",0
5,3,"turk16-colorEllipse","k-3-sdline-0.25-sdgroup-0.25","line-0.87002-cluster-0.91041","20, 11","5f9885168e3a02f57ab7216e9f76141d.svg","turk16",114,"set-1-k-3-sdline-0.25-sdgroup-0.25",0
6,3,"turk16-colorShapeEllipse","k-3-sdline-0.25-sdgroup-0.25","line-0.87002-cluster-0.91041","20, 11","de6f4b21787024326d0666debe32ab9e.svg","turk16",115,"set-1-k-3-sdline-0.25-sdgroup-0.25",0
7,3,"turk16-trend","k-3-sdline-0.25-sdgroup-0.25","line-0.87002-cluster-0.91041","20, 11","27421a32f70fe6a4a0656dc50be9ef2d.svg","turk16",116,"set-1-k-3-sdline-0.25-sdgroup-0.25",0
8,3,"turk16-trendError","k-3-sdline-0.25-sdgroup-0.25","line-0.87002-cluster-0.91041","20, 11","4be655be11e54034393d33818f0a1b07.svg","turk16",117,"set-1-k-3-sdline-0.25-sdgroup-0.25",0
9,3,"turk16-colorTrend","k-3-sdline-0.25-sdgroup-0.25","line-0.87002-cluster-0.91041","20, 11","6a5ae267ade04b7528c1b90d62e12c87.svg","turk16",118,"set-1-k-3-sdline-0.25-sdgroup-0.25",0
10,3,"turk16-colorEllipseTrendError","k-3-sdline-0.25-sdgroup-0.25","line-0.87002-cluster-0.91041","20, 11","5f7809853f3cfa21075e3166b395ab18.svg","turk16",119,"set-1-k-3-sdline-0.25-sdgroup-0.25",0
11,3,"turk16-plain","k-3-sdline-0.25-sdgroup-0.25","line-0.84580-cluster-0.91407","1, 9","f1594cca4ef3093080620dc0f4a755e4.svg","turk16",110,"set-2-k-3-sdline-0.25-sdgroup-0.25",0
12,3,"turk16-color","k-3-sdline-0.25-sdgroup-0.25","line-0.84580-cluster-0.91407","1, 9","9c6fc7c8dabbaf76b8451e7550aebb7f.svg","turk16",111,"set-2-k-3-sdline-0.25-sdgroup-0.25",0
13,3,"turk16-shape","k-3-sdline-0.25-sdgroup-0.25","line-0.84580-cluster-0.91407","1, 9","af708dc8f6739d7eac9056215daa6c57.svg","turk16",112,"set-2-k-3-sdline-0.25-sdgroup-0.25",0
14,3,"turk16-colorShape","k-3-sdline-0.25-sdgroup-0.25","line-0.84580-cluster-0.91407","1, 9","5dd683e9749ff950a22dcee2b88952f8.svg","turk16",113,"set-2-k-3-sdline-0.25-sdgroup-0.25",0
15,3,"turk16-colorEllipse","k-3-sdline-0.25-sdgroup-0.25","line-0.84580-cluster-0.91407","1, 9","2a63105ecbed37f4fc582beacbb388b7.svg","turk16",114,"set-2-k-3-sdline-0.25-sdgroup-0.25",0
16,3,"turk16-colorShapeEllipse","k-3-sdline-0.25-sdgroup-0.25","line-0.84580-cluster-0.91407","1, 9","857c112deca3cafa8016755a7f6bca94.svg","turk16",115,"set-2-k-3-sdline-0.25-sdgroup-0.25",0
17,3,"turk16-trend","k-3-sdline-0.25-sdgroup-0.25","line-0.84580-cluster-0.91407","1, 9","07aa162a1b86d00f73ce08e35267f1af.svg","turk16",116,"set-2-k-3-sdline-0.25-sdgroup-0.25",0
18,3,"turk16-trendError","k-3-sdline-0.25-sdgroup-0.25","line-0.84580-cluster-0.91407","1, 9","db3dfa694cefbc7d1fb24e23b839d996.svg","turk16",117,"set-2-k-3-sdline-0.25-sdgroup-0.25",0
